ConstituentID,FirstName,DisplayName,ArtistBio,Nationality,Region,Continent,Gender
1,Robert,Robert Arneson,"American, 1930–1992",American,North America,Americas,Male
2,Doroteo,Doroteo Arnaiz,"Spanish, born 1936",Spanish,Southern Europe,Europe,Male
3,Bill,Bill Arnold,"American, born 1941",American,North America,Americas,Male
4,Charles,Charles Arnoldi,"American, born 1946",American,North America,Americas,Male
5,Per,Per Arnoldi,"Danish, born 1941",Danish,Northern Europe,Europe,Male
6,Danilo,Danilo Aroldi,"Italian, born 1925",Italian,Southern Europe,Europe,Male
7,Bill,Bill Aron,"American, born 1941",American,North America,Americas,Male
9,David,David Aronson,"American, born Lithuania 1923",American,North America,Americas,Male
10,Irene,Irene Aronson,"American, born Germany 1918",American,North America,Americas,Female
11,Jean,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,Western Europe,Europe,Male
12,Jüri,Jüri Arrak,"Estonian, born 1936",Estonian,Western Asia,Asia,Male
13,J.,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,Central America,Americas,Male
15,Folke,Folke Arstrom,"Swedish, 1907–1997",Swedish,Nothern Europe,Europe,Male
16,Cristobal,Cristobal Arteche,"Spanish, 1900–1964",Spanish,Southern Europe,Europe,Male
18,Artko,Artko,,,,,
19,Richard,Richard Artschwager,"American, 1923–2013",American,North America,Americas,Male
21,Ruth,Ruth Asawa,"American, 1926–2013",American,North America,Americas,Female
22,Isidora,Isidora Aschheim,Israeli,Israeli,Western Asia,Asia,Female
23,Charles,Charles Robert Ashbee,"British, 1863–1942",British,Nothern Europe,Europe,Male
24,Donald,Donald Ashcraft,"American, born 1927",American,North America,Americas,Male
25,E.,E. M. Ashe,"American, 1867–1941",American,North America,Americas,Male
26,Göran,Göran Åslin,"Swedish, born 1940",Swedish,Nothern Europe,Europe,
27,Erik,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,Nothern Europe,Europe,Male
28,Geneviève,Geneviève Asse,"French, born 1923",French,Western Europe,Europe,Female
30,Sergio,Sergio Asti,"Italian, born 1926",Italian,Southern Europe,Europe,Male
31,Dana,Dana Atchley,"American, 1941–2000",American,North America,Americas,Female
32,Atelier,Atelier Eggers,French,French,Western Europe,Europe,
